overall_neuron_index,layer,neuron_index_in_layer,weight,abs_weight
155792,25,2192,4.9946012,4.9946012
167718,27,1830,-4.4406147,4.4406147
168916,27,3028,2.8848336,2.8848336
156415,25,2815,2.6198246,2.6198246
162917,26,3173,2.1256583,2.1256583
166891,27,1003,2.12252,2.12252
170590,27,4702,2.0507448,2.0507448
139641,22,4473,-1.8784118,1.8784118
165005,26,5261,1.8701776,1.8701776
169120,27,3232,1.735148,1.735148
152297,24,4841,1.5575633,1.5575633
107259,17,2811,1.4777007,1.4777007
160623,26,879,1.3813486,1.3813486
152972,24,5516,-1.316808,1.316808
159990,26,246,-1.2565658,1.2565658
107893,17,3445,1.0885497,1.0885497
116627,18,6035,-1.0882819,1.0882819
149817,24,2361,-1.0359106,1.0359106
168468,27,2580,0.9929671,0.9929671
150368,24,2912,-0.9662125,0.9662125
108011,17,3563,0.95500183,0.95500183
158436,25,4836,0.9345232,0.9345232
157813,25,4213,-0.9206266,0.9206266
87088,14,1072,-0.8983608,0.8983608
126676,20,3796,0.8632751,0.8632751
154243,25,643,-0.86098826,0.86098826
116096,18,5504,-0.844531,0.844531
162296,26,2552,-0.83931774,0.83931774
111506,18,914,-0.8376055,0.8376055
137694,22,2526,-0.8371876,0.8371876
171153,27,5265,-0.8289225,0.8289225
152975,24,5519,-0.8113294,0.8113294
133917,21,4893,0.79023904,0.79023904
156810,25,3210,-0.79016006,0.79016006
162294,26,2550,0.7647785,0.7647785
155620,25,2020,-0.7579463,0.7579463
124441,20,1561,0.75509185,0.75509185
161652,26,1908,0.748142,0.748142
139852,22,4684,-0.7465901,0.7465901
130481,21,1457,0.73579353,0.73579353
140633,22,5465,-0.7300037,0.7300037
138140,22,2972,-0.70675194,0.70675194
121757,19,5021,-0.70642716,0.70642716
140254,22,5086,0.7062863,0.7062863
137462,22,2294,0.69942045,0.69942045
146368,23,5056,-0.6935066,0.6935066
121401,19,4665,0.69242585,0.69242585
156846,25,3246,-0.68794215,0.68794215
142375,23,1063,0.66859406,0.66859406
137563,22,2395,-0.6679175,0.6679175
145741,23,4429,0.6678405,0.6678405
109115,17,4667,-0.66239977,0.66239977
157024,25,3424,0.66141814,0.66141814
163012,26,3268,0.656145,0.656145
162945,26,3201,-0.640605,0.640605
115799,18,5207,-0.63816696,0.63816696
148892,24,1436,-0.6346226,0.6346226
136349,22,1181,0.6180799,0.6180799
121686,19,4950,-0.6178006,0.6178006
168388,27,2500,0.614493,0.614493
133849,21,4825,-0.6030621,0.6030621
94174,15,2014,0.59965163,0.59965163
136029,22,861,-0.59851354,0.59851354
149837,24,2381,0.5979214,0.5979214
92663,15,503,0.5909804,0.5909804
149105,24,1649,0.58911854,0.58911854
147489,24,33,0.5784373,0.5784373
156532,25,2932,0.57418543,0.57418543
115944,18,5352,0.57415974,0.57415974
150033,24,2577,0.5685458,0.5685458
108997,17,4549,-0.5645619,0.5645619
143803,23,2491,0.56203437,0.56203437
150804,24,3348,-0.55069256,0.55069256
163672,26,3928,-0.54927444,0.54927444
165990,27,102,-0.5459178,0.5459178
144322,23,3010,0.53839844,0.53839844
139453,22,4285,-0.5368833,0.5368833
137243,22,2075,0.53637177,0.53637177
140214,22,5046,0.5295953,0.5295953
152631,24,5175,-0.5181527,0.5181527
139199,22,4031,-0.51293415,0.51293415
155352,25,1752,0.5077224,0.5077224
143033,23,1721,-0.4905096,0.4905096
131467,21,2443,-0.48840895,0.48840895
161215,26,1471,0.48809016,0.48809016
164231,26,4487,-0.48149258,0.48149258
135347,22,179,0.47837675,0.47837675
121615,19,4879,-0.46732765,0.46732765
113781,18,3189,-0.46730953,0.46730953
141754,23,442,0.46529996,0.46529996
154861,25,1261,0.46090397,0.46090397
142998,23,1686,0.45381254,0.45381254
122042,19,5306,0.45376977,0.45376977
154685,25,1085,0.45169318,0.45169318
157585,25,3985,0.4512979,0.4512979
143414,23,2102,-0.447805,0.447805
115080,18,4488,-0.44563895,0.44563895
105439,17,991,0.44063234,0.44063234
145467,23,4155,-0.43202224,0.43202224
103066,16,4762,0.4317894,0.4317894
112974,18,2382,0.43055508,0.43055508
132102,21,3078,0.42041963,0.42041963
153710,25,110,0.41159374,0.41159374
167214,27,1326,0.4017053,0.4017053
153306,24,5850,-0.40078127,0.40078127
162572,26,2828,0.3981821,0.3981821
127101,20,4221,-0.3963625,0.3963625
153118,24,5662,-0.3923522,0.3923522
152344,24,4888,-0.38863602,0.38863602
144533,23,3221,0.38814902,0.38814902
148539,24,1083,0.37500533,0.37500533
84811,13,4939,0.3719818,0.3719818
126947,20,4067,0.37119704,0.37119704
140358,22,5190,-0.36414796,0.36414796
118840,19,2104,-0.3625972,0.3625972
141736,23,424,0.36214563,0.36214563
131755,21,2731,-0.36183906,0.36183906
126093,20,3213,0.361333,0.361333
140816,22,5648,0.36063933,0.36063933
145555,23,4243,-0.36019415,0.36019415
159323,25,5723,-0.3579743,0.3579743
156384,25,2784,-0.35630816,0.35630816
165541,26,5797,0.35500374,0.35500374
117232,19,496,0.35428208,0.35428208
130320,21,1296,0.35259274,0.35259274
136685,22,1517,0.35059065,0.35059065
146456,23,5144,0.35047907,0.35047907
114043,18,3451,0.34890845,0.34890845
171905,27,6017,-0.3488875,0.3488875
140467,22,5299,-0.34560165,0.34560165
171132,27,5244,0.3451391,0.3451391
162401,26,2657,-0.34302768,0.34302768
157208,25,3608,0.34170622,0.34170622
148747,24,1291,-0.33760065,0.33760065
135991,22,823,0.33711803,0.33711803
145658,23,4346,-0.33646667,0.33646667
155617,25,2017,-0.3362156,0.3362156
133983,21,4959,-0.33230668,0.33230668
98357,16,53,-0.33224285,0.33224285
167257,27,1369,-0.3295462,0.3295462
160962,26,1218,0.32856,0.32856
159130,25,5530,0.32556438,0.32556438
135885,22,717,0.3248477,0.3248477
134479,21,5455,0.3233463,0.3233463
135379,22,211,-0.3232537,0.3232537
160278,26,534,0.32291183,0.32291183
121157,19,4421,-0.3206078,0.3206078
126900,20,4020,0.3194804,0.3194804
158876,25,5276,-0.31792206,0.31792206
131336,21,2312,0.31770658,0.31770658
139554,22,4386,0.3170644,0.3170644
148622,24,1166,0.31559038,0.31559038
132434,21,3410,0.31393656,0.31393656
135786,22,618,0.31370786,0.31370786
132954,21,3930,0.3069622,0.3069622
99281,16,977,-0.30612206,0.30612206
108078,17,3630,0.30567852,0.30567852
156220,25,2620,-0.304815,0.304815
143151,23,1839,0.30408946,0.30408946
164816,26,5072,0.30114922,0.30114922
113578,18,2986,0.29877764,0.29877764
138590,22,3422,-0.29853925,0.29853925
146382,23,5070,0.29827264,0.29827264
128371,20,5491,0.29453185,0.29453185
162427,26,2683,-0.29392472,0.29392472
151720,24,4264,0.2931338,0.2931338
132378,21,3354,-0.29222992,0.29222992
123771,20,891,-0.29206002,0.29206002
63993,10,2553,-0.29199836,0.29199836
159784,26,40,0.29138654,0.29138654
160868,26,1124,0.28896043,0.28896043
133423,21,4399,0.28758976,0.28758976
115745,18,5153,-0.28733218,0.28733218
149914,24,2458,0.28631088,0.28631088
135511,22,343,-0.2853263,0.2853263
125615,20,2735,-0.28434008,0.28434008
155684,25,2084,-0.28391552,0.28391552
158411,25,4811,-0.2831391,0.2831391
71782,11,4198,-0.28215054,0.28215054
125710,20,2830,-0.27902773,0.27902773
98374,16,70,0.2784032,0.2784032
154197,25,597,-0.27755725,0.27755725
110129,17,5681,0.27733988,0.27733988
139254,22,4086,0.27714244,0.27714244
158115,25,4515,-0.27581403,0.27581403
162487,26,2743,-0.27454245,0.27454245
159570,25,5970,-0.27368793,0.27368793
151284,24,3828,0.27320912,0.27320912
126162,20,3282,-0.27236682,0.27236682
138486,22,3318,0.27216282,0.27216282
159167,25,5567,-0.27088523,0.27088523
147616,24,160,0.26998532,0.26998532
110449,17,6001,-0.26926577,0.26926577
152797,24,5341,-0.268999,0.268999
99018,16,714,0.26859295,0.26859295
152516,24,5060,0.26466203,0.26466203
128492,20,5612,0.2640463,0.2640463
131387,21,2363,-0.26314682,0.26314682
122705,19,5969,0.26255363,0.26255363
132808,21,3784,0.26231456,0.26231456
