overall_neuron_index,layer,neuron_index_in_layer,weight,abs_weight,useless
340668,35,188,-8.265995,8.265995,predicts_bad
340496,35,16,-3.530158,3.530158,predicts_bad
349535,35,9055,1.6142598,1.6142598,predicts_good
340699,35,219,-0.8111783,0.8111783,predicts_bad
344370,35,3890,0.7854482,0.7854482,predicts_good
321026,33,2,-0.6860192,0.6860192,predicts_bad
330780,34,28,-0.5840963,0.5840963,predicts_bad
340850,35,370,-0.5647476,0.5647476,predicts_bad
321034,33,10,0.5416673,0.5416673,predicts_good
340733,35,253,-0.5186496,0.5186496,predicts_bad
311321,32,25,-0.49096063,0.49096063,predicts_bad
330799,34,47,-0.48979545,0.48979545,predicts_bad
330855,34,103,0.46980152,0.46980152,predicts_good
331357,34,605,-0.44128263,0.44128263,predicts_bad
342069,35,1589,-0.43135366,0.43135366,predicts_bad
340815,35,335,-0.41417167,0.41417167,predicts_bad
321162,33,138,-0.40549585,0.40549585,predicts_bad
322156,33,1132,-0.3965868,0.3965868,predicts_bad
321088,33,64,0.38874984,0.38874984,predicts_good
311876,32,580,-0.3886104,0.3886104,predicts_bad
330885,34,133,-0.38618243,0.38618243,predicts_bad
291844,30,4,0.38556376,0.38556376,predicts_good
340677,35,197,-0.36695027,0.36695027,predicts_bad
331100,34,348,-0.36691916,0.36691916,predicts_bad
331114,34,362,-0.35392863,0.35392863,predicts_bad
301681,31,113,-0.35332167,0.35332167,predicts_bad
331117,34,365,-0.3530901,0.3530901,predicts_bad
331005,34,253,0.33979613,0.33979613,predicts_good
311693,32,397,-0.33310106,0.33310106,predicts_bad
340471,34,9719,0.32907087,0.32907087,predicts_good
331141,34,389,-0.32274592,0.32274592,predicts_bad
301577,31,9,0.31399786,0.31399786,predicts_good
330985,34,233,0.3139183,0.3139183,predicts_good
291896,30,56,0.3080509,0.3080509,predicts_good
233948,24,476,-0.30447075,0.30447075,predicts_bad
337892,34,7140,0.29360044,0.29360044,predicts_good
322306,33,1282,0.29188293,0.29188293,predicts_good
321836,33,812,-0.2816456,0.2816456,predicts_bad
321820,33,796,-0.2769584,0.2769584,predicts_bad
340751,35,271,-0.27605164,0.27605164,predicts_bad
253034,26,106,-0.27461845,0.27461845,predicts_bad
322599,33,1575,0.2729639,0.2729639,predicts_good
311426,32,130,0.26958695,0.26958695,predicts_good
321254,33,230,-0.26817703,0.26817703,predicts_bad
330771,34,19,-0.26801968,0.26801968,predicts_bad
321086,33,62,-0.26624748,0.26624748,predicts_bad
204294,21,6,-0.25582254,0.25582254,predicts_bad
322346,33,1322,-0.25222462,0.25222462,predicts_bad
343052,35,2572,-0.24354552,0.24354552,predicts_bad
301775,31,207,-0.24341533,0.24341533,predicts_bad
253042,26,114,-0.24174783,0.24174783,predicts_bad
340644,35,164,-0.23805013,0.23805013,predicts_bad
333057,34,2305,-0.23671621,0.23671621,predicts_bad
321375,33,351,0.2365981,0.2365981,predicts_good
332982,34,2230,-0.2344254,0.2344254,predicts_bad
340521,35,41,-0.23289213,0.23289213,predicts_bad
341523,35,1043,0.23190925,0.23190925,predicts_good
331277,34,525,-0.23050444,0.23050444,predicts_bad
321709,33,685,0.2277847,0.2277847,predicts_good
267498,27,4842,0.22439924,0.22439924,predicts_good
184832,19,0,0.22329511,0.22329511,predicts_good
301825,31,257,-0.2203331,0.2203331,predicts_bad
346004,35,5524,0.21862721,0.21862721,predicts_good
330415,33,9391,-0.2177691,0.2177691,predicts_bad
292005,30,165,-0.21674389,0.21674389,predicts_bad
301782,31,214,0.21516275,0.21516275,predicts_good
273837,28,1453,-0.21212816,0.21212816,predicts_bad
340825,35,345,-0.20677927,0.20677927,predicts_bad
321107,33,83,-0.2046056,0.2046056,predicts_bad
331010,34,258,-0.20178252,0.20178252,predicts_bad
291900,30,60,0.18754676,0.18754676,predicts_good
302226,31,658,-0.1841413,0.1841413,predicts_bad
330965,34,213,0.18411294,0.18411294,predicts_good
341142,35,662,0.18322003,0.18322003,predicts_good
331070,34,318,-0.18246779,0.18246779,predicts_bad
321242,33,218,-0.1807006,0.1807006,predicts_bad
341088,35,608,-0.18018208,0.18018208,predicts_bad
311645,32,349,0.18012519,0.18012519,predicts_good
204424,21,136,-0.17862368,0.17862368,predicts_bad
340962,35,482,0.17550468,0.17550468,predicts_good
340635,35,155,0.17314284,0.17314284,predicts_good
341218,35,738,-0.17191914,0.17191914,predicts_bad
312046,32,750,0.1700757,0.1700757,predicts_good
280625,28,8241,0.16952467,0.16952467,predicts_good
321633,33,609,0.16841686,0.16841686,predicts_good
301933,31,365,0.12370141,0.12370141,predicts_good
233474,24,2,-0.12209016,0.12209016,predicts_bad
314259,32,2963,0.12085005,0.12085005,predicts_good
331370,34,618,0.120019965,0.120019965,predicts_good
311445,32,149,0.1195706,0.1195706,predicts_good
301592,31,24,0.11872178,0.11872178,predicts_good
341650,35,1170,0.11831178,0.11831178,predicts_good
223921,23,177,-0.117551796,0.117551796,predicts_bad
321511,33,487,0.11720883,0.11720883,predicts_good
321669,33,645,-0.11448061,0.11448061,predicts_bad
343293,35,2813,-0.11398244,0.11398244,predicts_bad
340574,35,94,-0.1139667,0.1139667,predicts_bad
194585,20,25,0.11392083,0.11392083,predicts_good
321302,33,278,0.11350098,0.11350098,predicts_good
315447,32,4151,-0.11324283,0.11324283,predicts_bad
295228,30,3388,-0.11001061,0.11001061,predicts_bad
263001,27,345,-0.10911654,0.10911654,predicts_bad
311614,32,318,0.108875245,0.108875245,predicts_good
341609,35,1129,-0.10846026,0.10846026,predicts_bad
343268,35,2788,-0.1081363,0.1081363,predicts_bad
230073,23,6329,-0.107810766,0.107810766,predicts_bad
283423,29,1311,0.10471113,0.10471113,predicts_good
331306,34,554,0.103446715,0.103446715,predicts_good
321458,33,434,-0.102779515,0.102779515,predicts_bad
321920,33,896,-0.10256588,0.10256588,predicts_bad
332866,34,2114,-0.10215515,0.10215515,predicts_bad
332308,34,1556,-0.10177005,0.10177005,predicts_bad
321397,33,373,0.101719946,0.101719946,predicts_good
322180,33,1156,-0.10099978,0.10099978,predicts_bad
342424,35,1944,0.10093391,0.10093391,predicts_good
283252,29,1140,-0.10071845,0.10071845,predicts_bad
312405,32,1109,-0.1004186,0.1004186,predicts_bad
333801,34,3049,0.09992942,0.09992942,predicts_good
283356,29,1244,0.0991458,0.0991458,predicts_good
341760,35,1280,-0.0989193,0.0989193,predicts_bad
233472,24,0,-0.09884028,0.09884028,predicts_bad
321094,33,70,0.098169655,0.098169655,predicts_good
224249,23,505,-0.09810367,0.09810367,predicts_bad
273870,28,1486,-0.097830385,0.097830385,predicts_bad
340796,35,316,-0.09774704,0.09774704,predicts_bad
