overall_neuron_index,layer,neuron_index_in_layer,weight,abs_weight,useless
167718,27,1830,-7.151418,7.151418,predicts_bad
155792,25,2192,4.5476713,4.5476713,predicts_good
156195,25,2595,-3.9228635,3.9228635,predicts_bad
159103,25,5503,-3.6439319,3.6439319,predicts_bad
167562,27,1674,2.753553,2.753553,predicts_good
162917,26,3173,2.6705344,2.6705344,predicts_good
170431,27,4543,-2.661901,2.661901,predicts_bad
152977,24,5521,-2.5347517,2.5347517,predicts_bad
133156,21,4132,2.3009474,2.3009474,predicts_good
152972,24,5516,-2.200027,2.200027,predicts_bad
168916,27,3028,2.1838458,2.1838458,predicts_good
159174,25,5574,-2.1256795,2.1256795,predicts_bad
115319,18,4727,1.980346,1.980346,predicts_good
164060,26,4316,1.9511762,1.9511762,predicts_good
159990,26,246,-1.9410571,1.9410571,predicts_bad
139641,22,4473,-1.8121088,1.8121088,predicts_bad
155054,25,1454,1.7764661,1.7764661,predicts_good
166891,27,1003,1.7520517,1.7520517,predicts_good
107259,17,2811,1.7251481,1.7251481,predicts_good
161374,26,1630,1.6852521,1.6852521,predicts_good
160357,26,613,1.6203561,1.6203561,predicts_good
168468,27,2580,1.494731,1.494731,predicts_good
150962,24,3506,-1.4307427,1.4307427,predicts_bad
159175,25,5575,-1.3703377,1.3703377,predicts_bad
136412,22,1244,-1.3658928,1.3658928,predicts_bad
170590,27,4702,1.1808693,1.1808693,predicts_good
136833,22,1665,1.178361,1.178361,predicts_good
168114,27,2226,1.1357894,1.1357894,predicts_good
168698,27,2810,-1.1104658,1.1104658,predicts_bad
138836,22,3668,-1.086172,1.086172,predicts_bad
156384,25,2784,-1.0799044,1.0799044,predicts_bad
107893,17,3445,1.07987,1.07987,predicts_good
138365,22,3197,1.061162,1.061162,predicts_good
116627,18,6035,-1.0494523,1.0494523,predicts_bad
132847,21,3823,-1.0463694,1.0463694,predicts_bad
116761,19,25,1.021236,1.021236,predicts_good
126676,20,3796,1.019177,1.019177,predicts_good
149817,24,2361,-1.0128404,1.0128404,predicts_bad
108011,17,3563,1.0051697,1.0051697,predicts_good
153896,25,296,0.9997217,0.9997217,predicts_good
169955,27,4067,0.9942041,0.9942041,predicts_good
157813,25,4213,-0.9898947,0.9898947,predicts_bad
134556,21,5532,-0.98561597,0.98561597,predicts_bad
158178,25,4578,0.98263085,0.98263085,predicts_good
138585,22,3417,0.9754696,0.9754696,predicts_good
87088,14,1072,-0.9677758,0.9677758,predicts_bad
171153,27,5265,-0.9624598,0.9624598,predicts_bad
113674,18,3082,0.93952435,0.93952435,predicts_good
144992,23,3680,-0.93896556,0.93896556,predicts_bad
144499,23,3187,-0.93367815,0.93367815,predicts_bad
162572,26,2828,0.93124753,0.93124753,predicts_good
152023,24,4567,-0.93064827,0.93064827,predicts_bad
150033,24,2577,0.9269961,0.9269961,predicts_good
133951,21,4927,-0.9091753,0.9091753,predicts_bad
155620,25,2020,-0.8905768,0.8905768,predicts_bad
124441,20,1561,0.8713214,0.8713214,predicts_good
143414,23,2102,-0.8592503,0.8592503,predicts_bad
143909,23,2597,0.8036137,0.8036137,predicts_good
138265,22,3097,-0.7958932,0.7958932,predicts_bad
129554,21,530,-0.76158154,0.76158154,predicts_bad
150124,24,2668,0.76075447,0.76075447,predicts_good
135426,22,258,0.74915075,0.74915075,predicts_good
109115,17,4667,-0.72906935,0.72906935,predicts_bad
143258,23,1946,-0.72610223,0.72610223,predicts_bad
135347,22,179,0.712145,0.712145,predicts_good
129981,21,957,0.7080109,0.7080109,predicts_good
152797,24,5341,-0.7060018,0.7060018,predicts_bad
116096,18,5504,-0.70325065,0.70325065,predicts_bad
161767,26,2023,0.696887,0.696887,predicts_good
168134,27,2246,-0.69529873,0.69529873,predicts_bad
153903,25,303,-0.69361687,0.69361687,predicts_bad
121401,19,4665,0.68969035,0.68969035,predicts_good
166411,27,523,0.6808159,0.6808159,predicts_good
148747,24,1291,-0.6805417,0.6805417,predicts_bad
154882,25,1282,0.668179,0.668179,predicts_good
139286,22,4118,0.66076887,0.66076887,predicts_good
148892,24,1436,-0.6596381,0.6596381,predicts_bad
133917,21,4893,0.65386707,0.65386707,predicts_good
133405,21,4381,0.653618,0.653618,predicts_good
152631,24,5175,-0.649243,0.649243,predicts_bad
145555,23,4243,-0.64851475,0.64851475,predicts_bad
94174,15,2014,0.6442802,0.6442802,predicts_good
138432,22,3264,-0.63835245,0.63835245,predicts_bad
147902,24,446,-0.6348524,0.6348524,predicts_bad
124239,20,1359,0.6321235,0.6321235,predicts_good
121757,19,5021,-0.62950087,0.62950087,predicts_bad
132850,21,3826,-0.6135845,0.6135845,predicts_bad
122042,19,5306,0.61075366,0.61075366,predicts_good
144034,23,2722,0.61045074,0.61045074,predicts_good
117232,19,496,0.6089444,0.6089444,predicts_good
163507,26,3763,0.6067963,0.6067963,predicts_good
157585,25,3985,0.6034224,0.6034224,predicts_good
155617,25,2017,-0.6025579,0.6025579,predicts_bad
165990,27,102,-0.5942695,0.5942695,predicts_bad
163694,26,3950,0.59381086,0.59381086,predicts_good
146276,23,4964,0.58373064,0.58373064,predicts_good
166792,27,904,0.58302855,0.58302855,predicts_good
129862,21,838,0.5813961,0.5813961,predicts_good
105439,17,991,0.58118343,0.58118343,predicts_good
132208,21,3184,0.5796172,0.5796172,predicts_good
126612,20,3732,0.5776031,0.5776031,predicts_good
112974,18,2382,0.5759561,0.5759561,predicts_good
116633,18,6041,0.5665905,0.5665905,predicts_good
129315,21,291,0.56647104,0.56647104,predicts_good
142601,23,1289,0.5659432,0.5659432,predicts_good
152565,24,5109,0.5633548,0.5633548,predicts_good
119728,19,2992,0.5608932,0.5608932,predicts_good
156283,25,2683,-0.5575613,0.5575613,predicts_bad
162294,26,2550,0.55663025,0.55663025,predicts_good
164296,26,4552,0.5539715,0.5539715,predicts_good
111643,18,1051,0.5530747,0.5530747,predicts_good
126048,20,3168,0.5488428,0.5488428,predicts_good
135639,22,471,0.5413921,0.5413921,predicts_good
159075,25,5475,0.5382739,0.5382739,predicts_good
148478,24,1022,0.5361953,0.5361953,predicts_good
168136,27,2248,-0.53590965,0.53590965,predicts_bad
162296,26,2552,-0.5313717,0.5313717,predicts_bad
140368,22,5200,-0.5290196,0.5290196,predicts_bad
143803,23,2491,0.52839345,0.52839345,predicts_good
157530,25,3930,-0.52552605,0.52552605,predicts_bad
140116,22,4948,-0.52513117,0.52513117,predicts_bad
133680,21,4656,-0.5235655,0.5235655,predicts_bad
155971,25,2371,-0.52307093,0.52307093,predicts_bad
163530,26,3786,0.52055424,0.52055424,predicts_good
138993,22,3825,-0.5205445,0.5205445,predicts_bad
155684,25,2084,-0.51858157,0.51858157,predicts_bad
164068,26,4324,0.5153632,0.5153632,predicts_good
127101,20,4221,-0.51397264,0.51397264,predicts_bad
153522,24,6066,-0.51110125,0.51110125,predicts_bad
144036,23,2724,0.5110786,0.5110786,predicts_good
137563,22,2395,-0.50854963,0.50854963,predicts_bad
167875,27,1987,-0.50231606,0.50231606,predicts_bad
150627,24,3171,0.49597016,0.49597016,predicts_good
149837,24,2381,0.49567682,0.49567682,predicts_good
120940,19,4204,-0.49527797,0.49527797,predicts_bad
135632,22,464,-0.49400294,0.49400294,predicts_bad
124276,20,1396,0.49391654,0.49391654,predicts_good
168388,27,2500,0.49155268,0.49155268,predicts_good
166611,27,723,0.4909053,0.4909053,predicts_good
120919,19,4183,-0.48480457,0.48480457,predicts_bad
142998,23,1686,0.48451108,0.48451108,predicts_good
131012,21,1988,-0.48439908,0.48439908,predicts_bad
92663,15,503,0.48099732,0.48099732,predicts_good
163886,26,4142,-0.48076108,0.48076108,predicts_bad
159130,25,5530,0.4771194,0.4771194,predicts_good
159949,26,205,-0.46864605,0.46864605,predicts_bad
137694,22,2526,-0.46858078,0.46858078,predicts_bad
138319,22,3151,-0.46387917,0.46387917,predicts_bad
130883,21,1859,0.4634576,0.4634576,predicts_good
155731,25,2131,0.46233493,0.46233493,predicts_good
138388,22,3220,0.46209776,0.46209776,predicts_good
133849,21,4825,-0.4580971,0.4580971,predicts_bad
113540,18,2948,0.44774613,0.44774613,predicts_good
115944,18,5352,0.44620067,0.44620067,predicts_good
132102,21,3078,0.43660775,0.43660775,predicts_good
138142,22,2974,-0.43450016,0.43450016,predicts_bad
151284,24,3828,0.43232208,0.43232208,predicts_good
129479,21,455,0.42402142,0.42402142,predicts_good
137760,22,2592,0.42376024,0.42376024,predicts_good
161471,26,1727,-0.42292684,0.42292684,predicts_bad
140633,22,5465,-0.42181858,0.42181858,predicts_bad
99018,16,714,0.42035058,0.42035058,predicts_good
118280,19,1544,0.41967285,0.41967285,predicts_good
84811,13,4939,0.4183374,0.4183374,predicts_good
98357,16,53,-0.417186,0.417186,predicts_bad
137243,22,2075,0.40018988,0.40018988,predicts_good
103066,16,4762,0.39964166,0.39964166,predicts_good
134272,21,5248,-0.39955938,0.39955938,predicts_bad
136593,22,1425,0.3990264,0.3990264,predicts_good
113781,18,3189,-0.39615303,0.39615303,predicts_bad
115080,18,4488,-0.39273,0.39273,predicts_bad
130369,21,1345,0.39098683,0.39098683,predicts_good
136029,22,861,-0.39045382,0.39045382,predicts_bad
129867,21,843,0.39041024,0.39041024,predicts_good
152120,24,4664,0.38883042,0.38883042,predicts_good
118328,19,1592,0.38622198,0.38622198,predicts_good
129614,21,590,-0.38458207,0.38458207,predicts_bad
158486,25,4886,0.3841841,0.3841841,predicts_good
158285,25,4685,0.38309693,0.38309693,predicts_good
143202,23,1890,0.38022292,0.38022292,predicts_good
153273,24,5817,0.3798703,0.3798703,predicts_good
118718,19,1982,-0.37583014,0.37583014,predicts_bad
125988,20,3108,-0.37541258,0.37541258,predicts_bad
118416,19,1680,-0.37356305,0.37356305,predicts_bad
153086,24,5630,-0.37268677,0.37268677,predicts_bad
113996,18,3404,-0.3723684,0.3723684,predicts_bad
113578,18,2986,0.37039766,0.37039766,predicts_good
156550,25,2950,-0.37032455,0.37032455,predicts_bad
131260,21,2236,0.36981192,0.36981192,predicts_good
131565,21,2541,-0.36807206,0.36807206,predicts_bad
128371,20,5491,0.36662608,0.36662608,predicts_good
119474,19,2738,0.36616907,0.36616907,predicts_good
153067,24,5611,0.36257946,0.36257946,predicts_good
152623,24,5167,0.36206442,0.36206442,predicts_good
143874,23,2562,-0.35967734,0.35967734,predicts_bad
142256,23,944,-0.3558934,0.3558934,predicts_bad
144317,23,3005,-0.35528532,0.35528532,predicts_bad
120596,19,3860,-0.35206753,0.35206753,predicts_bad
122575,19,5839,-0.34948185,0.34948185,predicts_bad
140347,22,5179,0.34878314,0.34878314,predicts_good
