overall_neuron_index,layer,neuron_index_in_layer,weight,abs_weight,useless
156473,25,2873,-0.6213064,0.6213064,predicts_bad
144945,23,3633,0.21290714,0.21290714,predicts_good
156000,25,2400,0.21132162,0.21132162,predicts_good
165095,26,5351,0.20507729,0.20507729,predicts_good
149862,24,2406,0.18356945,0.18356945,predicts_good
138836,22,3668,-0.1695504,0.1695504,predicts_bad
132157,21,3133,0.16897365,0.16897365,predicts_good
120842,19,4106,0.12387447,0.12387447,predicts_good
119463,19,2727,0.12214431,0.12214431,predicts_good
122913,20,33,-0.12076526,0.12076526,predicts_bad
154786,25,1186,-0.12033863,0.12033863,predicts_bad
114670,18,4078,-0.11934188,0.11934188,predicts_bad
128214,20,5334,0.118650734,0.118650734,predicts_good
156102,25,2502,-0.118173875,0.118173875,predicts_bad
132929,21,3905,-0.11799203,0.11799203,predicts_bad
136839,22,1671,-0.11370245,0.11370245,predicts_bad
152910,24,5454,0.10812052,0.10812052,predicts_good
151203,24,3747,-0.102048755,0.102048755,predicts_bad
168385,27,2497,0.09847816,0.09847816,predicts_good
138704,22,3536,0.098433,0.098433,predicts_good
166890,27,1002,-0.09686303,0.09686303,predicts_bad
123126,20,246,0.096530296,0.096530296,predicts_good
131016,21,1992,0.09322918,0.09322918,predicts_good
113904,18,3312,-0.08935995,0.08935995,predicts_bad
168219,27,2331,0.086779326,0.086779326,predicts_good
170619,27,4731,-0.08556916,0.08556916,predicts_bad
154528,25,928,-0.08535834,0.08535834,predicts_bad
162401,26,2657,-0.15458818,0.15458818,predicts_bad
150576,24,3120,0.15392077,0.15392077,predicts_good
124940,20,2060,0.1489186,0.1489186,predicts_good
143758,23,2446,-0.14137475,0.14137475,predicts_bad
161727,26,1983,0.14045544,0.14045544,predicts_good
149883,24,2427,-0.13682763,0.13682763,predicts_bad
132954,21,3930,-0.13649848,0.13649848,predicts_bad
156511,25,2911,0.13613687,0.13613687,predicts_good
158814,25,5214,0.13519284,0.13519284,predicts_good
120670,19,3934,0.13284396,0.13284396,predicts_good
140312,22,5144,0.13205636,0.13205636,predicts_good
120066,19,3330,-0.12748379,0.12748379,predicts_bad
140729,22,5561,-0.08304162,0.08304162,predicts_bad
168555,27,2667,0.08262859,0.08262859,predicts_good
108096,17,3648,-0.08159105,0.08159105,predicts_bad
152386,24,4930,-0.07997246,0.07997246,predicts_bad
152879,24,5423,0.0798468,0.0798468,predicts_good
147810,24,354,-0.07963574,0.07963574,predicts_bad
161870,26,2126,-0.07906718,0.07906718,predicts_bad
98958,16,654,0.07684152,0.07684152,predicts_good
139490,22,4322,0.07538911,0.07538911,predicts_good
137780,22,2612,0.07386583,0.07386583,predicts_good
99545,16,1241,-0.07294946,0.07294946,predicts_bad
136528,22,1360,-0.06904918,0.06904918,predicts_bad
124635,20,1755,-0.06868456,0.06868456,predicts_bad
170139,27,4251,-0.06845719,0.06845719,predicts_bad
143480,23,2168,-0.06842327,0.06842327,predicts_bad
150987,24,3531,-0.06711033,0.06711033,predicts_bad
133439,21,4415,-0.06705215,0.06705215,predicts_bad
138470,22,3302,0.06680591,0.06680591,predicts_good
166671,27,783,-0.06660525,0.06660525,predicts_bad
165596,26,5852,-0.066590734,0.066590734,predicts_bad
129379,21,355,0.066368066,0.066368066,predicts_good
120844,19,4108,-0.065082975,0.065082975,predicts_bad
136129,22,961,-0.06483399,0.06483399,predicts_bad
136799,22,1631,0.06358377,0.06358377,predicts_good
168136,27,2248,0.06339887,0.06339887,predicts_good
121506,19,4770,0.06266357,0.06266357,predicts_good
121799,19,5063,0.06186399,0.06186399,predicts_good
132449,21,3425,-0.06152593,0.06152593,predicts_bad
160730,26,986,-0.06116669,0.06116669,predicts_bad
119114,19,2378,0.06115259,0.06115259,predicts_good
119171,19,2435,0.061114535,0.061114535,predicts_good
106881,17,2433,-0.060891446,0.060891446,predicts_bad
