overall_neuron_index,layer,neuron_index_in_layer,weight,abs_weight,useless
166834,27,946,738.4709,738.4709,predicts_good
166565,27,677,543.88354,543.88354,predicts_good
169197,27,3309,-381.67426,381.67426,predicts_bad
169115,27,3227,-307.1003,307.1003,predicts_bad
14109,2,1821,199.69514,199.69514,predicts_good
167574,27,1686,188.38208,188.38208,predicts_good
163356,26,3612,-144.78374,144.78374,predicts_bad
170133,27,4245,108.88219,108.88219,predicts_good
170396,27,4508,-105.247055,105.247055,predicts_bad
164830,26,5086,-98.58709,98.58709,predicts_bad
169174,27,3286,-97.64959,97.64959,predicts_bad
149008,24,1552,-88.7979,88.7979,predicts_bad
170285,27,4397,88.11912,88.11912,predicts_good
166714,27,826,-87.61345,87.61345,predicts_bad
167980,27,2092,78.32792,78.32792,predicts_good
157017,25,3417,76.35172,76.35172,predicts_good
167666,27,1778,74.56148,74.56148,predicts_good
167228,27,1340,-70.73011,70.73011,predicts_bad
170039,27,4151,-67.688255,67.688255,predicts_bad
168443,27,2555,-65.50001,65.50001,predicts_bad
170969,27,5081,-65.0157,65.0157,predicts_bad
161019,26,1275,-63.874805,63.874805,predicts_bad
170440,27,4552,-62.935223,62.935223,predicts_bad
171451,27,5563,52.350407,52.350407,predicts_good
169548,27,3660,52.27243,52.27243,predicts_good
159909,26,165,50.25998,50.25998,predicts_good
167356,27,1468,45.439396,45.439396,predicts_good
171522,27,5634,-42.465878,42.465878,predicts_bad
154997,25,1397,40.540142,40.540142,predicts_good
169430,27,3542,40.389397,40.389397,predicts_good
156417,25,2817,-40.172825,40.172825,predicts_bad
151623,24,4167,-39.69411,39.69411,predicts_bad
167760,27,1872,-39.548653,39.548653,predicts_bad
171662,27,5774,-39.157322,39.157322,predicts_bad
161780,26,2036,-38.678772,38.678772,predicts_bad
171195,27,5307,36.801632,36.801632,predicts_good
152533,24,5077,-36.571068,36.571068,predicts_bad
169676,27,3788,-36.452106,36.452106,predicts_bad
167776,27,1888,-35.84962,35.84962,predicts_bad
170326,27,4438,-35.515938,35.515938,predicts_bad
167077,27,1189,35.44979,35.44979,predicts_good
167310,27,1422,34.656933,34.656933,predicts_good
166381,27,493,34.652393,34.652393,predicts_good
148742,24,1286,34.626595,34.626595,predicts_good
126697,20,3817,34.55234,34.55234,predicts_good
163445,26,3701,32.14938,32.14938,predicts_good
156285,25,2685,-31.145264,31.145264,predicts_bad
150021,24,2565,-30.560514,30.560514,predicts_bad
163749,26,4005,-30.170065,30.170065,predicts_bad
147407,23,6095,28.979305,28.979305,predicts_good
140567,22,5399,-28.585293,28.585293,predicts_bad
167329,27,1441,-28.202642,28.202642,predicts_bad
156299,25,2699,-27.495687,27.495687,predicts_bad
165826,26,6082,-27.46182,27.46182,predicts_bad
156185,25,2585,27.29541,27.29541,predicts_good
