overall_neuron_index,layer,neuron_index_in_layer,weight,abs_weight,useless
139081,22,3913,0.7618548,0.7618548,predicts_good
169919,27,4031,0.37075275,0.37075275,predicts_good
156644,25,3044,0.23170105,0.23170105,predicts_good
157496,25,3896,0.22881648,0.22881648,predicts_good
137946,22,2778,-0.19524887,0.19524887,predicts_bad
163538,26,3794,-0.1944994,0.1944994,predicts_bad
154143,25,543,0.18767995,0.18767995,predicts_good
157997,25,4397,0.1869468,0.1869468,predicts_good
148592,24,1136,0.1843079,0.1843079,predicts_good
158048,25,4448,0.1823748,0.1823748,predicts_good
153456,24,6000,-0.17091209,0.17091209,predicts_bad
128005,20,5125,-0.16701984,0.16701984,predicts_bad
124317,20,1437,-0.12198471,0.12198471,predicts_bad
165015,26,5271,-0.11608544,0.11608544,predicts_bad
120678,19,3942,0.115443595,0.115443595,predicts_good
144322,23,3010,0.11387605,0.11387605,predicts_good
159281,25,5681,-0.112734,0.112734,predicts_bad
151801,24,4345,0.10920662,0.10920662,predicts_good
131624,21,2600,0.10916512,0.10916512,predicts_good
162487,26,2743,-0.107132815,0.107132815,predicts_bad
143066,23,1754,0.10683599,0.10683599,predicts_good
139318,22,4150,0.106012166,0.106012166,predicts_good
135920,22,752,0.10360989,0.10360989,predicts_good
158814,25,5214,0.09562911,0.09562911,predicts_good
152244,24,4788,-0.092401035,0.092401035,predicts_bad
133793,21,4769,-0.091144346,0.091144346,predicts_bad
158018,25,4418,-0.09019076,0.09019076,predicts_bad
102583,16,4279,-0.089333594,0.089333594,predicts_bad
136623,22,1455,-0.088550046,0.088550046,predicts_bad
147117,23,5805,0.08799532,0.08799532,predicts_good
124840,20,1960,-0.08731295,0.08731295,predicts_bad
160521,26,777,0.08612135,0.08612135,predicts_good
140832,22,5664,-0.0859862,0.0859862,predicts_bad
152085,24,4629,-0.16494887,0.16494887,predicts_bad
143300,23,1988,0.1611956,0.1611956,predicts_good
153863,25,263,-0.14928958,0.14928958,predicts_bad
154123,25,523,-0.13496844,0.13496844,predicts_bad
135257,22,89,-0.1322816,0.1322816,predicts_bad
168587,27,2699,-0.12873186,0.12873186,predicts_bad
153287,24,5831,-0.08213417,0.08213417,predicts_bad
142664,23,1352,0.081588,0.081588,predicts_good
123209,20,329,0.08075719,0.08075719,predicts_good
146439,23,5127,0.08056628,0.08056628,predicts_good
165307,26,5563,0.07943467,0.07943467,predicts_good
149157,24,1701,-0.079110205,0.079110205,predicts_bad
126827,20,3947,0.0779957,0.0779957,predicts_good
128699,20,5819,0.07518023,0.07518023,predicts_good
156102,25,2502,0.07426917,0.07426917,predicts_good
154569,25,969,0.07379294,0.07379294,predicts_good
151000,24,3544,0.07351217,0.07351217,predicts_good
141496,23,184,0.073304795,0.073304795,predicts_good
130857,21,1833,0.07330075,0.07330075,predicts_good
132565,21,3541,-0.071761474,0.071761474,predicts_bad
164510,26,4766,0.07161598,0.07161598,predicts_good
165281,26,5537,-0.07159759,0.07159759,predicts_bad
169670,27,3782,-0.06917905,0.06917905,predicts_bad
164560,26,4816,0.06848017,0.06848017,predicts_good
170808,27,4920,-0.0684608,0.0684608,predicts_bad
167504,27,1616,0.067560814,0.067560814,predicts_good
107757,17,3309,-0.06753645,0.06753645,predicts_bad
112777,18,2185,0.06733365,0.06733365,predicts_good
143140,23,1828,0.066191524,0.066191524,predicts_good
167621,27,1733,-0.065852925,0.065852925,predicts_bad
171992,27,6104,0.06501729,0.06501729,predicts_good
107036,17,2588,-0.064805195,0.064805195,predicts_bad
140573,22,5405,0.06451864,0.06451864,predicts_good
161053,26,1309,-0.06430494,0.06430494,predicts_bad
128572,20,5692,0.06419752,0.06419752,predicts_good
170892,27,5004,-0.064172335,0.064172335,predicts_bad
151216,24,3760,0.06404182,0.06404182,predicts_good
148167,24,711,-0.06340508,0.06340508,predicts_bad
145434,23,4122,-0.062847875,0.062847875,predicts_bad
98843,16,539,-0.06155823,0.06155823,predicts_bad
138852,22,3684,-0.06140144,0.06140144,predicts_bad
168193,27,2305,0.06128796,0.06128796,predicts_good
144470,23,3158,0.05936709,0.05936709,predicts_good
164329,26,4585,0.058082707,0.058082707,predicts_good
121795,19,5059,0.05800192,0.05800192,predicts_good
138778,22,3610,0.057171572,0.057171572,predicts_good
153745,25,145,0.055394012,0.055394012,predicts_good
166671,27,783,-0.054680213,0.054680213,predicts_bad
126468,20,3588,0.054558184,0.054558184,predicts_good
153162,24,5706,0.054284975,0.054284975,predicts_good
122870,19,6134,-0.054265656,0.054265656,predicts_bad
92704,15,544,-0.053969063,0.053969063,predicts_bad
168145,27,2257,0.053811867,0.053811867,predicts_good
132327,21,3303,0.053703144,0.053703144,predicts_good
112410,18,1818,-0.053545084,0.053545084,predicts_bad
110866,18,274,0.053182337,0.053182337,predicts_good
155422,25,1822,0.053050086,0.053050086,predicts_good
171633,27,5745,-0.05290175,0.05290175,predicts_bad
119689,19,2953,-0.052891985,0.052891985,predicts_bad
