overall_neuron_index,layer,neuron_index_in_layer,weight,abs_weight,useless
164060,26,4316,1.0222148,1.0222148,predicts_good
140467,22,5299,0.38365895,0.38365895,predicts_good
160649,26,905,-0.3332515,0.3332515,predicts_bad
152603,24,5147,0.27595705,0.27595705,predicts_good
156511,25,2911,0.22848704,0.22848704,predicts_good
157606,25,4006,0.21294716,0.21294716,predicts_good
148296,24,840,-0.20868856,0.20868856,predicts_bad
140396,22,5228,0.202171,0.202171,predicts_good
153023,24,5567,-0.18853208,0.18853208,predicts_bad
122876,19,6140,0.18558046,0.18558046,predicts_good
169982,27,4094,-0.18527877,0.18527877,predicts_bad
119326,19,2590,0.18441932,0.18441932,predicts_good
137256,22,2088,-0.17836423,0.17836423,predicts_bad
118839,19,2103,-0.1777627,0.1777627,predicts_bad
153656,25,56,0.17331487,0.17331487,predicts_good
119463,19,2727,0.17231295,0.17231295,predicts_good
115301,18,4709,-0.16945536,0.16945536,predicts_bad
154130,25,530,-0.124498546,0.124498546,predicts_bad
151372,24,3916,-0.12144988,0.12144988,predicts_bad
136422,22,1254,0.12051079,0.12051079,predicts_good
164788,26,5044,0.115098536,0.115098536,predicts_good
117509,19,773,-0.112758465,0.112758465,predicts_bad
118476,19,1740,-0.111707,0.111707,predicts_bad
150556,24,3100,-0.11061639,0.11061639,predicts_bad
165345,26,5601,0.10871116,0.10871116,predicts_good
108587,17,4139,-0.10527459,0.10527459,predicts_bad
125882,20,3002,-0.102890626,0.102890626,predicts_bad
121896,19,5160,0.10136677,0.10136677,predicts_good
170907,27,5019,-0.098720364,0.098720364,predicts_bad
125846,20,2966,-0.09807809,0.09807809,predicts_bad
121419,19,4683,0.095099,0.095099,predicts_good
121240,19,4504,-0.09353677,0.09353677,predicts_bad
170721,27,4833,0.093533024,0.093533024,predicts_good
144235,23,2923,0.09180981,0.09180981,predicts_good
149490,24,2034,0.091716856,0.091716856,predicts_good
140950,22,5782,-0.08926919,0.08926919,predicts_bad
114087,18,3495,-0.08878955,0.08878955,predicts_bad
119137,19,2401,-0.088248104,0.088248104,predicts_bad
133368,21,4344,-0.087195076,0.087195076,predicts_bad
96879,15,4719,-0.08645272,0.08645272,predicts_bad
166366,27,478,-0.086441964,0.086441964,predicts_bad
153024,24,5568,-0.0860998,0.0860998,predicts_bad
123075,20,195,0.08590618,0.08590618,predicts_good
138818,22,3650,-0.0857725,0.0857725,predicts_bad
133321,21,4297,-0.08521338,0.08521338,predicts_bad
128333,20,5453,-0.08484246,0.08484246,predicts_bad
147226,23,5914,0.16154873,0.16154873,predicts_good
120678,19,3942,0.15373863,0.15373863,predicts_good
132544,21,3520,0.14764826,0.14764826,predicts_good
114983,18,4391,0.14596538,0.14596538,predicts_good
158876,25,5276,-0.14354104,0.14354104,predicts_bad
126231,20,3351,-0.14255312,0.14255312,predicts_bad
154462,25,862,0.14150381,0.14150381,predicts_good
126496,20,3616,0.14115365,0.14115365,predicts_good
128516,20,5636,-0.13902533,0.13902533,predicts_bad
139958,22,4790,0.13331008,0.13331008,predicts_good
116601,18,6009,0.13165914,0.13165914,predicts_good
125098,20,2218,-0.13009375,0.13009375,predicts_bad
167562,27,1674,-0.12928885,0.12928885,predicts_bad
156253,25,2653,-0.12766424,0.12766424,predicts_bad
156102,25,2502,-0.12603475,0.12603475,predicts_bad
162773,26,3029,-0.1252613,0.1252613,predicts_bad
165809,26,6065,0.08165594,0.08165594,predicts_good
166986,27,1098,0.079124734,0.079124734,predicts_good
167437,27,1549,0.07912469,0.07912469,predicts_good
143909,23,2597,0.07909228,0.07909228,predicts_good
155390,25,1790,-0.07879704,0.07879704,predicts_bad
141665,23,353,0.07831885,0.07831885,predicts_good
159018,25,5418,-0.07744509,0.07744509,predicts_bad
128718,20,5838,-0.077285185,0.077285185,predicts_bad
161661,26,1917,0.07686715,0.07686715,predicts_good
122489,19,5753,-0.07652703,0.07652703,predicts_bad
156840,25,3240,-0.07620527,0.07620527,predicts_bad
151466,24,4010,0.07565787,0.07565787,predicts_good
123057,20,177,-0.075175986,0.075175986,predicts_bad
162655,26,2911,-0.07504785,0.07504785,predicts_bad
164789,26,5045,-0.0742487,0.0742487,predicts_bad
167607,27,1719,-0.072220445,0.072220445,predicts_bad
147514,24,58,-0.06999727,0.06999727,predicts_bad
117634,19,898,-0.06950848,0.06950848,predicts_bad
119061,19,2325,0.06946204,0.06946204,predicts_good
135996,22,828,-0.0685541,0.0685541,predicts_bad
67711,11,127,0.06851236,0.06851236,predicts_good
111764,18,1172,-0.06817875,0.06817875,predicts_bad
115604,18,5012,-0.06744658,0.06744658,predicts_bad
112733,18,2141,-0.067239925,0.067239925,predicts_bad
107520,17,3072,-0.06681819,0.06681819,predicts_bad
144798,23,3486,0.066560484,0.066560484,predicts_good
159663,25,6063,-0.06655698,0.06655698,predicts_bad
111505,18,913,0.065355055,0.065355055,predicts_good
130245,21,1221,-0.065323204,0.065323204,predicts_bad
137933,22,2765,0.06521295,0.06521295,predicts_good
126530,20,3650,0.06480377,0.06480377,predicts_good
163075,26,3331,-0.06447042,0.06447042,predicts_bad
121817,19,5081,-0.06428992,0.06428992,predicts_bad
138266,22,3098,0.06404362,0.06404362,predicts_good
130630,21,1606,0.06332495,0.06332495,predicts_good
100374,16,2070,0.06309452,0.06309452,predicts_good
131708,21,2684,0.0623768,0.0623768,predicts_good
122339,19,5603,-0.062256746,0.062256746,predicts_bad
93502,15,1342,0.062222235,0.062222235,predicts_good
113726,18,3134,0.06201384,0.06201384,predicts_good
101627,16,3323,-0.06134343,0.06134343,predicts_bad
147778,24,322,0.060627967,0.060627967,predicts_good
99505,16,1201,0.060371585,0.060371585,predicts_good
143978,23,2666,-0.05923669,0.05923669,predicts_bad
120695,19,3959,0.059219036,0.059219036,predicts_good
119025,19,2289,0.058926765,0.058926765,predicts_good
105821,17,1373,0.058673725,0.058673725,predicts_good
131491,21,2467,0.05783756,0.05783756,predicts_good
138572,22,3404,-0.057197325,0.057197325,predicts_bad
131381,21,2357,-0.05693306,0.05693306,predicts_bad
132246,21,3222,0.05671483,0.05671483,predicts_good
